date,stock,binNum,binStartTime,binEndTime,auctionIndicator,volume,binStartPrice,binEndPrice,day_openPrice,day_closePrice,day_lowPrice,day_highPrice,output_remainingVolume,output_closeAuctionVolume,output_closePriceDirection
d0,stock0,1,00:00.0,30:00.0,OpenAuction,5500,99.54853,99.54853,99.54853,100.1067,99.54853,100.4618,2816000,439500,1
d0,stock0,2,30:00.0,35:00.0,,161500,99.54853,100.3603,99.54853,100.1067,99.54853,100.4618,2810500,439500,1
d0,stock0,3,35:00.0,40:00.0,,72500,100.3603,100.4111,99.54853,100.1067,99.54853,100.4618,2649000,439500,1
d0,stock0,4,40:00.0,45:00.0,,34500,100.3096,100.2589,99.54853,100.1067,99.54853,100.4618,2576500,439500,1
d0,stock0,5,45:00.0,50:00.0,,29500,100.2589,100.3096,99.54853,100.1067,99.54853,100.4618,2542000,439500,1
d0,stock0,6,50:00.0,55:00.0,,16000,100.2589,100.2589,99.54853,100.1067,99.54853,100.4618,2512500,439500,1
d0,stock0,7,55:00.0,00:00.0,,1000,100.0559,100.1067,99.54853,100.1067,99.54853,100.4618,2496500,439500,1
d0,stock0,8,00:00.0,05:00.0,,45000,100.1067,100.2589,99.54853,100.1067,99.54853,100.4618,2495500,439500,1
d0,stock0,9,05:00.0,10:00.0,,27500,100.2081,100.2589,99.54853,100.1067,99.54853,100.4618,2450500,439500,1
d0,stock0,10,10:00.0,15:00.0,,98500,100.2589,100.1067,99.54853,100.1067,99.54853,100.4618,2423000,439500,1
d0,stock0,11,15:00.0,20:00.0,,54000,100.1067,100.1067,99.54853,100.1067,99.54853,100.4618,2324500,439500,1
d0,stock0,12,20:00.0,25:00.0,,4500,100.0052,100.0052,99.54853,100.1067,99.54853,100.4618,2270500,439500,1
d0,stock0,13,25:00.0,30:00.0,,14500,100.0052,100.0559,99.54853,100.1067,99.54853,100.4618,2266000,439500,1
d0,stock0,14,30:00.0,35:00.0,,51500,100.0559,99.95444,99.54853,100.1067,99.54853,100.4618,2251500,439500,1
d0,stock0,15,35:00.0,40:00.0,,32500,99.80223,99.85296,99.54853,100.1067,99.54853,100.4618,2200000,439500,1
d0,stock0,16,40:00.0,45:00.0,,7000,99.80223,99.80223,99.54853,100.1067,99.54853,100.4618,2167500,439500,1
d0,stock0,17,45:00.0,50:00.0,,15500,99.75149,99.9037,99.54853,100.1067,99.54853,100.4618,2160500,439500,1
d0,stock0,18,50:00.0,55:00.0,,9500,99.85296,99.85296,99.54853,100.1067,99.54853,100.4618,2145000,439500,1
d0,stock0,19,55:00.0,00:00.0,,12500,99.85296,99.80223,99.54853,100.1067,99.54853,100.4618,2135500,439500,1
d0,stock0,20,00:00.0,05:00.0,,39500,99.80223,99.9037,99.54853,100.1067,99.54853,100.4618,2123000,439500,1
d0,stock0,21,05:00.0,10:00.0,,32000,99.85296,99.95444,99.54853,100.1067,99.54853,100.4618,2083500,439500,1
d0,stock0,22,10:00.0,15:00.0,,44500,99.9037,99.95444,99.54853,100.1067,99.54853,100.4618,2051500,439500,1
d0,stock0,23,15:00.0,20:00.0,,4500,99.95444,100.0052,99.54853,100.1067,99.54853,100.4618,2007000,439500,1
d0,stock0,24,20:00.0,25:00.0,,1500,100.0052,100.0052,99.54853,100.1067,99.54853,100.4618,2002500,439500,1
d0,stock0,25,25:00.0,30:00.0,,59000,99.95444,100.0052,99.54853,100.1067,99.54853,100.4618,2001000,439500,1
d0,stock0,26,30:00.0,35:00.0,,13000,99.95444,99.9037,99.54853,100.1067,99.54853,100.4618,1942000,439500,1
d0,stock0,27,35:00.0,40:00.0,,17500,99.9037,99.9037,99.54853,100.1067,99.54853,100.4618,1929000,439500,1
d0,stock0,28,40:00.0,45:00.0,,16500,99.9037,99.80223,99.54853,100.1067,99.54853,100.4618,1911500,439500,1
d0,stock0,29,45:00.0,50:00.0,,24000,99.80223,99.80223,99.54853,100.1067,99.54853,100.4618,1895000,439500,1
d0,stock0,30,50:00.0,55:00.0,,14000,99.80223,99.80223,99.54853,100.1067,99.54853,100.4618,1871000,439500,1
d0,stock0,31,55:00.0,00:00.0,,17500,99.80223,99.85296,99.54853,100.1067,99.54853,100.4618,1857000,439500,1
d0,stock0,32,00:00.0,05:00.0,,72500,99.85296,99.95444,99.54853,100.1067,99.54853,100.4618,1839500,439500,1
d0,stock0,33,05:00.0,10:00.0,,77500,99.95444,100.1574,99.54853,100.1067,99.54853,100.4618,1767000,439500,1
d0,stock0,34,10:00.0,15:00.0,,39000,100.2081,100.3603,99.54853,100.1067,99.54853,100.4618,1689500,439500,1
d0,stock0,35,15:00.0,20:00.0,,37000,100.3603,100.4111,99.54853,100.1067,99.54853,100.4618,1650500,439500,1
d0,stock0,36,20:00.0,25:00.0,,32000,100.3603,100.3096,99.54853,100.1067,99.54853,100.4618,1613500,439500,1
d0,stock0,37,25:00.0,30:00.0,,14500,100.3096,100.3096,99.54853,100.1067,99.54853,100.4618,1581500,439500,1
d0,stock0,38,30:00.0,35:00.0,,15000,100.3096,100.2589,99.54853,100.1067,99.54853,100.4618,1567000,439500,1
d0,stock0,39,35:00.0,40:00.0,,24500,100.2589,100.0559,99.54853,100.1067,99.54853,100.4618,1552000,439500,1
d0,stock0,40,40:00.0,45:00.0,,15500,100.1067,100.0559,99.54853,100.1067,99.54853,100.4618,1527500,439500,1
d0,stock0,41,45:00.0,50:00.0,,38500,100.0052,99.85296,99.54853,100.1067,99.54853,100.4618,1512000,439500,1
d0,stock0,42,50:00.0,55:00.0,,30000,99.9037,99.9037,99.54853,100.1067,99.54853,100.4618,1473500,439500,1
d0,stock0,43,55:00.0,00:00.0,,19500,99.9037,99.85296,99.54853,100.1067,99.54853,100.4618,1443500,439500,1
d0,stock0,44,00:00.0,05:00.0,,13000,99.85296,99.80223,99.54853,100.1067,99.54853,100.4618,1424000,439500,1
d0,stock0,45,05:00.0,10:00.0,,53000,99.80223,100.0559,99.54853,100.1067,99.54853,100.4618,1411000,439500,1
d0,stock0,46,10:00.0,15:00.0,,6500,100.0052,99.95444,99.54853,100.1067,99.54853,100.4618,1358000,439500,1
d0,stock0,47,15:00.0,20:00.0,,6000,99.95444,99.9037,99.54853,100.1067,99.54853,100.4618,1351500,439500,1
d0,stock0,48,20:00.0,25:00.0,,63000,99.9037,100.0559,99.54853,100.1067,99.54853,100.4618,1345500,439500,1
